,id,Name,X,Y,LONGITUDE,LATITUDE,MESSAGEDATE,USERID,USERSCREENNAME,MESSAGETEXT,LOCATION,HASHTAGS,ISRETWEET,datetime,Cluster,parsed_tweets,stemmed_tokens,is_new_years_tweet,is_eastender_tweet
70,550218677355032576,,-0.2967,51.426357,-0.29670000076293945,51.42635726928711,31/12/2014 09:15:29,18968961,markwarne, @Queen_UK: New Year Honours are out. Have made Nick Clegg a Pantomime Dame. He's thrilled. #OhYesOneDid  #fb,Kingston upon Thames,OhYesOneDid fb,0,2014-12-31 09:15:29,1,New Year Honours are out Have made Nick Clegg a Pantomime Dame He s thrilled,"['new', 'year', 'honour', 'are', 'out', 'have', 'made', 'nick', 'clegg', 'a', 'pantomim', 'dame', 'He', 's', 'thrill']",True,True
79,550223325671489536,,-0.29379299999999997,51.413727,-0.2937929928302765,51.41372680664063,31/12/2014 09:33:58,14598401,blairwadman,@thijs but people without nuclear warheads can't use nuclear warheads to kill people. Same with guns,Kingston upon Thames,,0,2014-12-31 09:33:58,1,but people without nuclear warheads can t use nuclear warheads to kill people Same with guns,"['but', 'peopl', 'without', 'nuclear', 'warhead', 'can', 't', 'use', 'nuclear', 'warhead', 'to', 'kill', 'peopl', 'same', 'with', 'gun']",False,True
113,550296465399373824,,-0.273872,51.376335,-0.2738719880580902,51.37633514404297,31/12/2014 14:24:36,37459615,chris_peacock,@dansmythphoto do it! Top tip: ride city nightline sleeper train ok dbahn. they're ace. Go to Budapest; it's dead cheap and historic!,Kingston upon Thames,,0,2014-12-31 14:24:36,1,do it Top tip ride city nightline sleeper train ok dbahn they re ace Go to Budapest it s dead cheap and historic,"['do', 'it', 'top', 'tip', 'ride', 'citi', 'nightlin', 'sleeper', 'train', 'ok', 'dbahn', 'they', 're', 'ace', 'Go', 'to', 'budapest', 'it', 's', 'dead', 'cheap', 'and', 'histor']",False,True
153,550254789603639297,,-0.256943,51.3936,-0.2569429874420166,51.39360046386719,31/12/2014 11:38:59,2190062675,hollyrobertss_,going to be dead today,Kingston upon Thames,,0,2014-12-31 11:38:59,1,going to be dead today,"['go', 'to', 'be', 'dead', 'today']",False,True
168,550247463190552576,,-0.29537399999999997,51.38528400000001,-0.2953740060329437,51.38528442382813,31/12/2014 11:09:52,1583331392,kunjal_b, @RinayPatel: I just died.      http://t.co/BVvl8k4XSR            ,Kingston upon Thames,,0,2014-12-31 11:09:52,1,I just died,"['I', 'just', 'die']",False,True
258,550311125796286464,,-0.266968,51.402596,-0.2669680118560791,51.40259552001953,31/12/2014 15:22:51,215363298,weare_br0ken,I feel like shit            so glad I got to see Lucy today and I get to see Jess later. Hopefully they'll help me forget about how much,Kingston upon Thames,,0,2014-12-31 15:22:51,1,I feel like shit so glad I got to see Lucy today and I get to see Jess later Hopefully they ll help me forget about how much,"['I', 'feel', 'like', 'shit', 'so', 'glad', 'I', 'got', 'to', 'see', 'luci', 'today', 'and', 'I', 'get', 'to', 'see', 'jess', 'later', 'hope', 'they', 'll', 'help', 'me', 'forget', 'about', 'how', 'much']",False,True
279,550308632643244032,,-0.301082,51.412544,-0.30108198523521423,51.41254425048828,31/12/2014 15:12:56,215363298,weare_br0ken,Aw emma ty      http://t.co/wpXUiiTGal,Kingston upon Thames,,0,2014-12-31 15:12:56,1,Aw emma ty,"['Aw', 'emma', 'ty']",False,True
318,550260995755896832,,-0.297304,51.41307000000001,-0.2973040044307709,51.41307067871094,31/12/2014 12:03:39,58602833,k_higham,feel like shit; cant breathe and my head is killing; but nye party tonight     ,Kingston upon Thames,,0,2014-12-31 12:03:39,1,feel like shit cant breathe and my head is killing but nye party tonight,"['feel', 'like', 'shit', 'cant', 'breath', 'and', 'my', 'head', 'is', 'kill', 'but', 'nye', 'parti', 'tonight']",False,True
367,550332507741511680,,-0.27229899999999996,51.365829999999995,-0.2722989916801453,51.36582946777344,31/12/2014 16:47:49,37974717,MaybeBeth,In The Amazing Spider-Man 3; unless Mary Jane is played by ginger Emma Stone; I'm going to hate her,Kingston upon Thames,,0,2014-12-31 16:47:49,1,In The Amazing Spider Man unless Mary Jane is played by ginger Emma Stone I m going to hate her,"['In', 'the', 'amaz', 'spider', 'man', 'unless', 'mari', 'jane', 'is', 'play', 'by', 'ginger', 'emma', 'stone', 'I', 'm', 'go', 'to', 'hate', 'her']",False,True
525,550530469033689088,,-0.300165,51.411120000000004,-0.30016499757766724,51.4111213684082,01/01/2015 05:54:26,619252268,t_conroy1,My hotel room just got raided by 5 old bill AND my mate just got nicked       ,Kingston upon Thames,,0,2015-01-01 05:54:26,1,My hotel room just got raided by old bill AND my mate just got nicked,"['My', 'hotel', 'room', 'just', 'got', 'raid', 'by', 'old', 'bill', 'and', 'my', 'mate', 'just', 'got', 'nick']",False,True
882,550617666873225216,,-0.272581,51.365691999999996,-0.27258101105689997,51.36569213867188,01/01/2015 11:40:56,37974717,MaybeBeth,I'm literally dead.,Kingston upon Thames,,0,2015-01-01 11:40:56,1,I m literally dead,"['I', 'm', 'liter', 'dead']",False,True
1001,550753922437378048,,-0.305307,51.42472,-0.305307000875473,51.424720764160156,01/01/2015 20:42:22,549234086,tehmeeno,so fucking excited for eastenders,Kingston upon Thames,,0,2015-01-01 20:42:22,1,so fucking excited for eastenders,"['so', 'fuck', 'excit', 'for', 'eastend']",False,True
1008,550754112670015491,,-0.304825,51.424686,-0.3048250079154968,51.42468643188477,01/01/2015 20:43:07,549234086,tehmeeno,so fucking excited for this hour long episode of eastenders,Kingston upon Thames,,0,2015-01-01 20:43:07,1,so fucking excited for this hour long episode of eastenders,"['so', 'fuck', 'excit', 'for', 'thi', 'hour', 'long', 'episod', 'of', 'eastend']",False,True
1064,550721648417329153,,-0.27305799999999997,51.398740000000004,-0.2730579972267151,51.39873886108398,01/01/2015 18:34:07,1348662787,Deccers_8,need to sort second half out. hopefully Mourinho killed them,Kingston upon Thames,,0,2015-01-01 18:34:07,1,need to sort second half out hopefully Mourinho killed them,"['need', 'to', 'sort', 'second', 'half', 'out', 'hope', 'mourinho', 'kill', 'them']",False,True
